QuestionType,QuestionText,AnswerA,AnswerB,AnswerC,AnswerD,CorrectAnswer,CorrectAnswerText,CorrectAnswerInfo
multiple_choice,"What are the stages of project IT infrastructure building?","Identification, Solution design, Development, Deployment","Initiation, Planning, Execution, Closure","Planning, Analysis, Implementation, Evaluation and improvement","Design, Testing, Deployment, Maintenance",C,"Planning, Analysis, Implementation, Evaluation and improvement","The text explicitly mentions the 4 stages as Planning, Analysis of possibilities and limitations, Implementation, and Evaluation and improvements."
multiple_choice,"Which of the following is an example of a profit-based service provider?","A supermarket","Apple manufacturer","A plumber","Governmental schools",C,"A plumber","The text provides examples of profit-based service providers including plumbers."
multiple_choice,"What is the main goal to open a business called?","Entrepreneurial vision","The business purpose","Business objective","Corporate mission",B,"The business purpose","The text explicitly states that the main goal to open a business is called 'The business purpose'."
multiple_choice,"Which department exists in most organizations and can be considered a functional area?","""Customer service""","""Marketing""","""Research and development""","""Human resources""",D,"""Human resources""","""Human resources"" is mentioned in the text as a department that exists in most organizations and can be considered a functional area."
multiple_choice,"What does a correct 'purpose' have to define for an organization?","""The organization's financial performance""","""The organization's competitors and market share""","""The organization and its goal clearly""","""The organization's history and values""",C,"""The organization and its goal clearly""","'A correct purpose' is defined in the text as one that defines the organization and states its goal clearly."
multiple_choice,"What is the main goal of opening a business called?","Business purpose","Corporate aspiration","Commercial intent","Entrepreneurial drive",A,"Business purpose","The business purpose refers to the primary objective behind establishing a business entity."
multiple_choice,"Which functional area is commonly found in a retail organization?","Sales department","Customer happiness division","Supply chain unit","Marketing bureau",A,"Sales department","The sales department is responsible for driving revenue through the sale of products or services."
multiple_choice,"Which of the following is an example of a data capture and collection device?",Tablet,Mobile,Laptop,"Barcode scanner",D,"Barcode scanner","Data capture and collection devices are used to gather information from sources such as barcodes, RFID, etc."
multiple_choice,"Which digital device is considered powerful, central, and focused?",Mobile,Server,Laptop,Tablet,B,Server,"Servers are known for their robust processing power and centralized functionality in a network environment."
multiple_choice,"What is a mandatory digital device commonly used in the retail field?","Optical mark reader","Point-of-sale system",Sensors,RFID,B,"Point-of-sale system","Point-of-sale systems are essential for processing transactions and managing inventory in retail environments."
multiple_choice,"For displaying lesson slides and videos, which digital device is recommended for a teacher?",Mobile,TV,"Wearable computer",Projector,D,Projector,"""Projector"" is recommended due to its ability to display content to a larger audience in a classroom setting."
multiple_choice,"Which input devices are commonly used for a tablet?","Touch screen and Stylus","Mouse and Keyboard","Scanner and Microphone","Trackball and Joystick",A,"Touch screen and Stylus","Touch screen and Stylus are the standard input devices for a tablet as mentioned in the text."
multiple_choice,"What is the main purpose of a Braille Embosser?","To convert text to speech","To print regular documents","To assist blind people in reading","To create 3D models",C,"To assist blind people in reading","A Braille Embosser is specifically designed to assist blind people in reading by printing documents in Braille."
multiple_choice,"'Voice screen reading' is an accessibility feature designed to support people with:","Hearing problems","Speech problems","Mobility problems","Sight problems",D,"Sight problems","'Voice screen reading' is an accessibility feature aimed at supporting individuals with sight problems by audibly reading out on-screen text."
multiple_choice,"In which industry can a 3D printer be utilized according to the text?",Retail,Hospitality,Construction,Agriculture,C,Construction,"The text suggests that a 3D printer can be used in the construction field, indicating its potential application in construction-related processes and projects."
multiple_choice,"What is the sensor's function when paired with an actuator?","It acts as a processing device","It acts as a storage device","It acts as an input device","It acts as an output device",C,"It acts as an input device","The sensor works as an input device when paired with an actuator to detect and transmit information."
multiple_choice,"What role does the actuator play when paired with a sensor?","It analyzes and processes sensor information","It provides visual representation of sensor data","It performs an action based on sensor input","It captures and stores data from the sensor",C,"It performs an action based on sensor input","The actuator's role when paired with a sensor is to perform an action based on the input received from the sensor."
multiple_choice,"Which type of operating system is best suited for managing a car parking system?","Server Multi-user OS","Mobile Single-user Single-task OS","PC Single-user Multi-task OS","Realtime OS",D,"Realtime OS","Realtime OS is specifically designed to handle real-time processes, making it suitable for time-sensitive systems like car parking management."
multiple_choice,"What is the most appropriate user interface for a PC with limited CPU speed and RAM space?","Command-line interface","Graphical User Interface","Adapted Interface","Menu-based Interface",A,"Command-line interface","A command-line interface is lightweight and requires fewer resources compared to graphical interfaces, making it suitable for systems with resource limitations."
multiple_choice,"Where does an operating system temporarily send the contents when un-allocating memory space to ensure enough space for running applications?","Cache memory","Virtual memory",RAM,"The backing store in the hard disk",D,"The backing store in the hard disk","When an OS un-allocates memory space, it temporarily sends the contents to the backing store in the hard disk to manage memory and ensure enough space for running applications."
multiple_choice,"Which utility tool can be used to organize files on a disk in a way that speeds up the performance of a system?","Partitioner utility","Traceroute utility","System profiler utility",Defragmenter,D,Defragmenter,"'Defragmenter' is a utility tool used to reorganize fragmented data on a disk, which can improve the performance of a system by reducing access time."
multiple_choice,"What should Lucy consider when sharing her images with the copy center for printing?","The file format and resolution of the images","The internet speed for uploading the images","The type of printer used by the copy center","The operating system of the copy center's computers",A,"The file format and resolution of the images","The file format and resolution of the images are crucial for ensuring high-quality prints."
multiple_choice,"What is a suggestion for Mohammed regarding his decision to use the Command-line interface instead of the Graphical user interface?","Upgrade to a computer with more resources","Switch to a different operating system","Consider using GUI for tasks that require visual interaction","Continue using Command-line interface for all tasks",C,"Consider using GUI for tasks that require visual interaction","GUI can be more user-friendly, especially for those with limited experience in using a PC."
